#OTU ID	M04754
OTU191	3729
OTU25683	2855
OTU7345	1148
OTU1446	618
OTU371	3264
OTU2272	1753
OTU1241	2911
OTU3742	1247
OTU20586	2662
OTU1732	5161
OTU3143	273
OTU1646	723
OTU500	4469
OTU6046	113
OTU2472	243
OTU563	6221
OTU1182	864
OTU89	5864
OTU19933	140
OTU6777	581
OTU3704	3002
OTU203	4434
OTU325	9383
OTU97	12854
OTU551	2041
OTU8850	59
OTU20156	6852
OTU328	1731
OTU4583	140
OTU4497	59
OTU1697	1325
OTU7581	24
OTU111	5676
OTU268	6029
OTU317	7421
OTU10689	5843
OTU8088	1715
OTU2372	640
OTU308	10181
OTU13661	27624
OTU54	8606
OTU1880	479
OTU26772	5907
OTU5918	80
OTU1592	302
OTU79	4198
OTU2854	213
OTU2835	485
OTU1133	1884
OTU1119	783
OTU404	2481
OTU952	1533
OTU6101	262
OTU829	1209
OTU20030	1556
OTU10709	191
OTU1424	459
OTU428	3526
OTU5509	194
OTU827	2352
OTU211	3231
OTU1096	3248
OTU22322	74
OTU2484	154
OTU117	10818
OTU154	3564
OTU125	7362
OTU910	3474
OTU5449	81
OTU4052	320
OTU585	2593
OTU1079	1514
OTU26460	163
OTU709	1301
OTU281	6043
OTU3409	458
OTU22727	12610
OTU288	6865
OTU177	5922
OTU6614	322
OTU19400	3850
OTU17798	5945
OTU3358	160
OTU377	2382
OTU26036	191
OTU1325	2335
OTU401	2444
OTU14871	20
OTU370	2403
OTU4400	97
OTU4976	2859
OTU3869	2166
OTU1213	1202
OTU755	2237
OTU447	2483
OTU2094	511
OTU664	1562
OTU908	3710
OTU740	1698
OTU322	2061
OTU240	3234
OTU3645	443
OTU10667	24247
OTU8322	105
OTU4216	414
OTU105	7900
OTU17997	474
OTU4621	681
OTU24	8851
OTU20095	896
OTU219	3125
OTU21839	8708
OTU27486	748
OTU296	9469
OTU19161	1892
OTU948	1742
OTU4201	133
OTU6823	41
OTU568	2971
OTU11243	42
OTU533	1891
OTU185	3800
OTU1272	1154
OTU20	12396
OTU61	9255
OTU8928	49
OTU990	1911
OTU2542	1976
OTU468	1395
OTU734	1369
OTU1318	1082
OTU169	4044
OTU642	2161
OTU5595	72
OTU739	2706
OTU1854	561
OTU535	1818
OTU21400	39
OTU6188	967
OTU85	10278
OTU132	5315
OTU465	2993
OTU2217	947
OTU2486	1046
OTU1371	1077
OTU12856	3422
OTU4151	772
OTU2190	610
OTU5329	1206
OTU1137	561
OTU9598	26
OTU3181	1721
OTU1634	370
OTU1906	1221
OTU410	2085
OTU17323	7886
OTU914	1088
OTU1515	711
OTU26206	4
OTU216	4183
OTU129	3739
OTU443	11204
OTU8819	423
OTU6468	2086
OTU4165	180
OTU11045	190
OTU3671	3799
OTU7140	95
OTU367	1654
OTU398	2841
OTU2618	263
OTU3606	141
OTU351	1813
OTU324	1577
OTU2396	879
OTU1498	679
OTU6475	35
OTU860	1401
OTU536	4043
OTU636	2799
OTU307	4107
OTU62	11932
OTU413	2973
OTU8548	910
OTU8231	642
OTU119	6543
OTU9734	32
OTU22699	20047
OTU2259	962
OTU484	2872
OTU162	8649
OTU3736	187
OTU22596	22
OTU1412	741
OTU13643	8
OTU160	5011
OTU93	3586
OTU1142	462
OTU695	3237
OTU1242	964
OTU2732	234
OTU23265	6188
OTU395	4587
OTU9021	297
OTU1314	994
OTU10891	24
OTU1268	538
OTU24586	465
OTU12953	33
OTU22215	7
OTU10284	15
OTU20204	7527
OTU775	2362
OTU3615	133
OTU40	16230
OTU47	10593
OTU346	4823
OTU22926	12979
OTU8122	652
OTU18935	585
OTU420	1911
OTU679	1594
OTU24630	2610
OTU16813	1904
OTU143	8497
OTU5123	86
OTU2042	191
OTU866	591
OTU4456	334
OTU1051	2128
OTU825	6709
OTU3521	434
OTU1828	4703
OTU174	8193
OTU21666	4051
OTU28041	631
OTU12286	281
OTU2848	689
OTU2095	336
OTU1531	836
OTU26205	2820
OTU17499	111
OTU464	2183
OTU2017	3201
OTU1225	534
OTU1329	4216
OTU19333	3604
OTU576	1728
OTU6486	1826
OTU976	983
OTU4015	118
OTU970	1093
OTU467	1556
OTU13894	102
OTU13870	28
OTU15304	3624
OTU90	4242
OTU231	4071
OTU3163	444
OTU99	10795
OTU2044	1033
OTU26775	14260
OTU632	1105
OTU1849	1165
OTU3658	2932
OTU765	1446
OTU1233	798
OTU762	1209
OTU1703	1314
OTU589	1232
OTU1948	837
OTU26643	3901
OTU1437	1937
OTU336	3387
OTU812	1807
OTU698	7915
OTU24081	6
OTU291	4050
OTU311	2769
OTU1814	509
OTU3534	249
OTU2346	3205
OTU2464	284
OTU223	4687
OTU7981	62
OTU5455	357
OTU1091	1531
OTU24155	10625
OTU2414	597
OTU6460	34
OTU20356	15142
OTU24116	2519
OTU14202	23
OTU9037	31
OTU987	1067
OTU4567	551
OTU841	3782
OTU13998	1392
OTU22321	6280
OTU18485	14949
OTU21772	4849
OTU3771	301
OTU4032	112
OTU448	1919
OTU2368	367
OTU445	1993
OTU2180	404
OTU9033	702
OTU1983	3531
OTU1965	1758
OTU22279	3420
OTU1534	819
OTU663	2356
OTU136	3162
OTU9718	138
OTU100	9766
OTU5321	223
OTU358	1861
OTU5639	169
OTU7647	56
OTU624	1990
OTU863	1359
OTU1253	778
OTU5320	168
OTU12774	3337
OTU273	11228
OTU516	2081
OTU3453	227
OTU1238	848
OTU2534	459
OTU433	3846
OTU1196	2457
OTU1425	1195
OTU455	8136
OTU565	7687
OTU1902	369
OTU751	1697
OTU4486	188
OTU1001	597
OTU21638	7292
OTU114	8703
OTU9758	177
OTU12766	126
OTU1246	3240
OTU738	1046
OTU4043	215
OTU2257	730
OTU1914	434
OTU1480	691
OTU11997	132
OTU978	910
OTU16597	113
OTU2116	199
OTU16757	74
OTU27398	191
OTU9215	101
OTU15926	7996
OTU678	1026
OTU19920	261
OTU1022	1737
OTU472	1332
OTU599	1744
OTU3605	818
OTU1786	423
OTU261	4093
OTU19722	78
OTU895	1462
OTU2556	1087
OTU1811	958
OTU655	899
OTU1586	5307
OTU1118	2897
OTU2862	360
OTU27147	478
OTU7304	27
OTU2016	944
OTU4344	222
OTU1192	2448
OTU1721	1195
OTU824	855
OTU491	2337
OTU1423	594
OTU1843	718
OTU1050	2842
OTU7985	29
OTU4076	137
OTU715	14806
OTU2687	617
OTU5188	164
OTU496	2480
OTU1434	587
OTU13689	305
OTU9711	19
OTU286	3469
OTU4910	291
OTU9784	105
OTU935	729
OTU915	907
OTU16703	42
OTU18202	1080
OTU1411	430
OTU3569	1677
OTU2188	1163
OTU933	1598
OTU687	2659
OTU12219	468
OTU1557	620
OTU2741	1434
OTU3492	237
OTU13812	1369
OTU1083	1314
OTU345	3416
OTU6792	239
OTU4057	91
OTU13745	22
OTU6537	35
OTU7176	2100
OTU4718	197
OTU6681	2526
OTU1700	1129
OTU11804	199
OTU1662	1914
OTU2240	4610
OTU905	2552
OTU4245	402
OTU27225	1565
OTU23660	314
OTU3717	928
OTU27779	18
OTU44	12738
OTU699	3446
OTU25739	124
OTU9048	460
OTU800	666
OTU5952	831
OTU1092	912
OTU67	6404
OTU1145	1057
OTU4595	246
OTU1331	1263
OTU399	4424
OTU2006	555
OTU14021	11
OTU1769	1075
OTU3042	1081
OTU665	1617
OTU4218	1170
OTU10142	53
OTU14036	462
OTU251	7991
OTU1998	915
OTU696	2232
OTU4035	116
OTU1961	1372
OTU314	2973
OTU19418	4
OTU14540	7942
OTU3617	305
OTU1377	1147
OTU16177	46
OTU8323	56
OTU6618	1013
OTU1070	4033
OTU23150	116
OTU260	3833
OTU20266	2301
OTU1047	799
OTU27995	114
OTU5820	143
OTU11495	217
OTU27534	774
OTU1207	1187
OTU1493	1539
OTU7925	164
OTU1690	674
OTU201	4400
OTU826	933
OTU1180	931
OTU6147	13105
OTU3564	1592
OTU562	3021
OTU4760	131
OTU6822	1625
OTU107	8734
OTU141	8936
OTU28068	4068
OTU1630	329
OTU5761	151
OTU1435	2500
OTU1962	571
OTU150	4028
OTU451	3193
OTU3055	405
OTU537	3216
OTU8535	220
OTU1823	673
OTU2658	382
OTU7931	61
OTU1657	419
OTU1306	1528
OTU9527	98
OTU1326	1408
OTU2238	425
OTU3889	178
OTU1530	1642
OTU190	2961
OTU23715	27
OTU10423	56
OTU620	1773
OTU4345	172
OTU560	1961
OTU942	1771
OTU683	4695
OTU1368	1402
OTU7808	138
OTU134	4609
OTU2458	177
OTU12463	29
OTU3073	161
OTU278	3977
OTU290	4060
OTU12717	51
OTU183	6831
OTU27379	143
OTU1350	15685
OTU2573	330
OTU998	742
OTU3547	439
OTU12800	26
OTU164	5532
OTU2132	437
OTU1673	928
OTU11150	220
OTU9551	8625
OTU8496	108
OTU2933	1300
OTU16242	174
OTU3279	362
OTU730	1306
OTU124	8190
OTU2584	166
OTU13415	41
OTU1324	3652
OTU14292	752
OTU133	5200
OTU967	584
OTU58	5327
OTU8417	2115
OTU5405	238
OTU1481	896
OTU297	5304
OTU7704	22
OTU27729	5989
OTU808	2340
OTU6847	61
OTU3078	617
OTU4407	1555
OTU5777	274
OTU621	1623
OTU215	3532
OTU94	5644
OTU16134	2968
OTU425	5382
OTU22351	49
OTU166	9093
OTU1033	620
OTU18007	4350
OTU64	6465
OTU2336	937
OTU2408	177
OTU1365	460
OTU2061	238
OTU1602	832
OTU186	4687
OTU106	4246
OTU57	7901
OTU1075	1626
OTU1200	450
OTU3111	476
OTU1292	488
OTU22216	3
OTU3328	262
OTU9414	27
OTU2364	538
OTU389	1983
OTU8371	206
OTU856	1624
OTU21386	207
OTU2122	603
OTU5863	88
OTU81	9990
OTU3938	251
OTU2366	672
OTU675	2641
OTU19008	13
OTU289	2139
OTU19303	11
OTU22439	245
OTU2701	349
OTU3419	3350
OTU374	2474
OTU161	4032
OTU2453	209
OTU11825	64
OTU1094	2535
OTU3091	415
OTU10290	82
OTU14499	147
OTU9802	80
OTU19301	4
OTU758	3908
OTU587	3285
OTU4719	419
OTU1871	3402
OTU2602	2323
OTU528	2141
OTU3584	570
OTU659	897
OTU1465	2354
OTU575	1934
OTU13113	1104
OTU22381	15
OTU13990	24
OTU6854	607
OTU8344	229
OTU2455	281
OTU1614	889
OTU7264	192
OTU318	2403
OTU3046	167
OTU950	1400
OTU801	861
OTU9992	1193
OTU706	2840
OTU2795	307
OTU1011	793
OTU2137	511
OTU3024	177
OTU1685	349
OTU4590	1992
OTU416	2281
OTU5881	126
OTU24112	4
OTU13356	21
OTU3009	184
OTU13	16364
OTU51	8755
OTU462	2345
OTU11211	177
OTU1795	833
OTU380	2823
OTU2524	346
OTU2727	301
OTU6225	41
OTU2681	532
OTU22256	1135
OTU887	1470
OTU7038	72
OTU2409	815
OTU697	2428
OTU2985	264
OTU5699	308
OTU27828	485
OTU173	2999
OTU4306	218
OTU4915	121
OTU4095	1778
OTU546	2022
OTU8870	485
