#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
OTU4286	8	0	21	13	2	9	1	12	3	11	0	0	0	2	3	3	11	0	22	7	3	4	1	2	0	0	7	2	3	16
OTU16613	220	241	59	143	50	97	236	29	191	297	105	180	40	222	79	284	96	151	96	8	42	31	155	136	14	220	54	154	170	20
OTU718	57	54	30	20	47	39	15	120	42	34	45	95	3	69	40	43	73	27	42	37	76	10	28	18	55	34	70	44	38	35
OTU647	144	8	1019	114	373	306	79	336	95	240	104	9	1	46	292	156	318	70	200	753	235	276	106	65	169	22	277	141	149	286
OTU7792	5	2	9	0	0	13	2	1	14	6	0	3	0	4	3	57	1	0	2	1	0	0	0	7	0	2	0	2	8	1
OTU529	53	130	182	11	131	82	51	236	115	91	58	141	0	29	119	71	118	83	86	200	33	474	19	244	183	44	205	136	85	190
OTU49	449	95	871	138	459	625	422	475	326	325	595	159	3	370	529	219	820	56	572	975	794	353	547	292	728	192	306	269	300	709
OTU5	1268	1879	481	1272	1466	988	1077	981	1412	1883	1895	1448	137	1510	1868	3105	953	928	1159	432	2061	624	1766	1482	967	2947	720	1318	2580	623
OTU135	339	0	10	27	70	529	50	39	1020	19	164	2	31	2	84	145	196	0	634	3	48	5	6	2	21	6	0	30	26	6
OTU1317	30	60	15	42	28	27	88	40	136	37	30	103	16	21	36	39	19	53	53	8	9	20	5	47	19	25	27	7	19	9
OTU7413	169	180	114	287	66	147	184	23	426	39	46	103	86	97	74	71	85	36	103	7	22	4	34	30	24	33	55	51	122	13
OTU4891	13	16	7	59	5	13	10	0	11	6	1	18	4	8	1	6	5	0	14	0	4	0	1	1	0	4	0	2	4	3
OTU2427	29	0	12	4	17	7	10	9	12	11	9	48	0	8	19	3	20	0	3	1	1	12	2	53	3	8	3	1	2	25
OTU138	333	224	57	349	37	153	91	127	287	319	184	209	58	191	162	62	253	23	105	8	123	15	627	69	54	117	7	140	358	10
OTU25253	877	435	1891	283	1182	695	195	1521	212	595	111	185	0	959	869	201	988	75	678	1982	921	667	540	193	1314	52	601	445	395	1735
OTU5540	5	0	1	0	7	0	0	0	5	3	8	7	0	2	4	0	12	0	2	4	0	0	0	0	1	0	1	0	1	1
OTU255	317	111	314	64	472	233	68	365	23	256	339	275	17	847	371	486	492	290	325	398	524	748	206	533	350	318	308	339	195	367
OTU115	243	232	322	115	238	332	227	387	329	319	434	121	4	392	242	675	311	528	260	195	397	86	597	69	220	375	272	315	155	260
OTU3831	27	6	50	101	9	46	39	6	150	13	17	15	60	7	12	9	25	24	23	0	11	1	10	0	7	4	3	4	23	2
OTU1098	54	51	78	6	69	62	13	45	83	34	85	80	0	36	68	25	54	0	35	85	53	20	44	19	108	29	28	18	8	41
OTU685	663	24	70	38	189	141	135	26	245	404	123	836	70	95	221	45	96	35	57	27	27	67	115	188	90	238	107	20	39	40
OTU21254	194	1978	445	16	220	79	151	394	31	498	147	425	4	183	253	126	171	809	136	194	114	666	123	711	778	333	615	234	134	286
OTU515	346	104	148	40	177	174	165	197	82	74	58	103	1	77	184	92	262	1	95	100	235	72	98	81	110	216	47	38	151	154
OTU798	21	9	53	0	15	32	40	112	0	24	70	92	0	7	16	1	8	7	43	428	1	70	9	19	297	12	132	37	7	111
OTU360	147	721	97	676	55	72	197	23	509	134	68	87	584	91	31	28	69	126	180	6	20	20	24	122	18	42	5	39	67	15
OTU945	122	38	35	45	63	101	61	54	256	131	167	77	0	115	120	700	142	0	131	83	60	4	109	25	15	36	12	54	64	34
OTU8920	7	0	0	7	0	1	1	0	9	0	1	1	0	6	2	2	7	0	4	0	1	0	0	0	0	0	1	0	0	0
OTU873	504	297	23	179	90	139	437	18	646	84	135	70	877	9	152	687	362	181	615	4	75	81	390	236	110	532	13	188	250	24
OTU187	670	1623	636	144	671	201	407	380	251	1895	889	1490	133	1033	808	743	389	1341	203	221	397	774	690	1175	1134	1252	611	744	566	341
